81,Buffalo, New York,258612,261310,?1.03%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2"
82,Madison, Wisconsin,255214,233209,0.0944,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2"
83,Lubbock, Texas,253888,229573,0.1059,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2
84,Chandler, Arizona,253458,236123,0.0734,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2"
85,Scottsdale, Arizona,249950,217385,0.1498,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2
86,Reno, Nevada,248853,225221,0.1049,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2
87,Glendale, Arizona,246709,226721,0.0882,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2"
88,Norfolk, Virginia,244703,242803,0.0078,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2"
89,Winston–Salem, North Carolina,244605,229617,0.0653,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2
90,North Las Vegas, Nevada,242975,216961,0.1199,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2
91,Gilbert, Arizona,242354,208453,0.1626,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2"
92,Chesapeake, Virginia,240397,222209,0.0819,338.5 sq mi,876.7 km2,703/sq mi,271/km2
93,Irving, Texas,240373,216290,0.1113,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2"
94,Hialeah, Florida,239673,224669,0.0668,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2"
95,Garland, Texas,238002,226876,0.049,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2"
96,Fremont, California,234962,214089,0.0975,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2"
97,Richmond, Virginia,227032,204214,0.1117,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2"
98,Boise, Idaho,226570,205671,0.1016,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2"
99,Baton Rouge, Louisiana,225374,229493,?1.79%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2"
100,Des Moines, Iowa,217521,203433,0.0693,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2
101,Spokane, Washington,217108,208916,0.0392,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2"
102,San Bernardino, California,216995,209924,0.0337,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2"
103,Modesto, California,214221,201165,0.0649,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2"
104,Tacoma, Washington,213418,198397,0.0757,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2"
105,Fontana, California,211815,196069,0.0803,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2"
106,Santa Clarita, California,210888,176320,0.1961,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2"
107,Birmingham, Alabama,210710,212237,?0.72%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2
108,Oxnard, California,210037,197899,0.0613,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2"
109,Fayetteville, North Carolina,209889,200564,0.0465,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2
110,Rochester, New York,208046,210565,?1.20%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2"
111,Moreno Valley, California,207226,193365,0.0717,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2"
112,Glendale, California,203054,191719,0.0591,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2"
113,Yonkers, New York,202019,195976,0.0308,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2"
114,Huntington Beach, California,201874,189992,0.0625,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2"
115,Aurora, Illinois,200965,197899,0.0155,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2"
116,Salt Lake City, Utah,200544,186440,0.0756,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2
117,Amarillo, Texas,199826,190695,0.0479,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2
118,Montgomery, Alabama,199518,205764,?3.04%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2
119,Grand Rapids, Michigan,198829,188040,0.0574,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2"
120,Little Rock, Arkansas,198606,193524,0.0263,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2
121,Akron, Ohio,197846,199110,?0.63%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2"
122,Augusta, Georgia,197166,195844,0.0068,302.5 sq mi,783.5 km2,652/sq mi,252/km2
123,Huntsville, Alabama,194585,180105,0.0804,213.4 sq mi,552.7 km2,905/sq mi,349/km2
124,Columbus, Georgia,194058,189885,0.022,216.4 sq mi,560.5 km2,913/sq mi,353/km2
125,Grand Prairie, Texas,193837,175396,0.1051,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2"
126,Shreveport, Louisiana,192036,199311,?3.65%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2
127,Overland Park, Kansas,191278,173372,0.1033,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2
128,Tallahassee, Florida,191049,181376,0.0533,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2
129,Mobile, Alabama,190265,195111,?2.48%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2
130,Port St. Lucie, Florida,189344,164603,0.1503,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2
131,Knoxville, Tennessee,187347,178874,0.0474,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2
132,Worcester, Massachusetts,185677,181045,0.0256,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2"
133,Tempe, Arizona,185038,161719,0.1442,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2"
134,Cape Coral, Florida,183365,154305,0.1883,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2
135,Brownsville, Texas,183299,175023,0.0473,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2
136,McKinney, Texas,181330,131117,0.383,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2"
137,Providence, Rhode Island,180393,178042,0.0132,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2"
138,Fort Lauderdale, Florida,180072,165521,0.0879,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2"
139,Newport News, Virginia,179388,180719,?0.74%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2"
